"size_bits","prime"
"14","13219"
"14","13229"
"14","13241"
"14","13249"
"14","13259"
"14","13267"
"14","13291"
"14","13297"
"14","13309"
"14","13313"
"14","13327"
"14","13331"
"14","13337"
"14","13339"
"14","13367"
"14","13381"
"14","13397"
"14","13399"
"14","13411"
"14","13417"
"14","13421"
"14","13441"
"14","13451"
"14","13457"
"14","13463"
"14","13469"
"14","13477"
"14","13487"
"14","13499"
"14","13513"
"14","13523"
"14","13537"
"14","13553"
"14","13567"
"14","13577"
"14","13591"
"14","13597"
"14","13613"
"14","13619"
"14","13627"
"14","13633"
"14","13649"
"14","13669"
"14","13679"
"14","13681"
"14","13687"
"14","13691"
"14","13693"
"14","13697"
"14","13709"
"14","13711"
"14","13721"
"14","13723"
"14","13729"
"14","13751"
"14","13757"
"14","13759"
"14","13763"
"14","13781"
"14","13789"
"14","13799"
"14","13807"
"14","13829"
"14","13831"
"14","13841"
"14","13859"
"14","13873"
"14","13877"
"14","13879"
"14","13883"
"14","13901"
"14","13903"
"14","13907"
"14","13913"
"14","13921"
"14","13931"
"14","13933"
"14","13963"
"14","13967"
"14","13997"
"14","13999"
"14","14009"
"14","14011"
"14","14029"
"14","14033"
"14","14051"
"14","14057"
"14","14071"
"14","14081"
"14","14083"
"14","14087"
"14","14107"
"14","14143"
"14","14149"
"14","14153"
"14","14159"
"14","14173"
"14","14177"
"14","14197"
"14","14207"
"14","14221"
"14","14243"
"14","14249"
"14","14251"
"14","14281"
"14","14293"
"14","14303"
"14","14321"
"14","14323"
"14","14327"
"14","14341"
"14","14347"
"14","14369"
"14","14387"
"14","14389"
"14","14401"
"14","14407"
"14","14411"
"14","14419"
"14","14423"
"14","14431"
"14","14437"
"14","14447"
"14","14449"
"14","14461"
"14","14479"
"14","14489"
"14","14503"
"14","14519"
"14","14533"
"14","14537"
"14","14543"
"14","14549"
"14","14551"
"14","14557"
"14","14561"
"14","14563"
"14","14591"
"14","14593"
"14","14621"
"14","14627"
"14","14629"
"14","14633"
"14","14639"
"14","14653"
"14","14657"
"14","14669"
"14","14683"
"14","14699"
"14","14713"
"14","14717"
"14","14723"
"14","14731"
"14","14737"
"14","14741"
"14","14747"
"14","14753"
"14","14759"
"14","14767"
"14","14771"
"14","14779"
"14","14783"
"14","14797"
"14","14813"
"14","14821"
"14","14827"
"14","14831"
"14","14843"
"14","14851"
"14","14867"
"14","14869"
"14","14879"
"14","14887"
"14","14891"
"14","14897"
"14","14923"
"14","14929"
"14","14939"
"14","14947"
"14","14951"
"14","14957"
"14","14969"
"14","14983"
"14","15013"
"14","15017"
"14","15031"
"14","15053"
"14","15061"
"14","15073"
"14","15077"
"14","15083"
"14","15091"
"14","15101"
"14","15107"
"14","15121"
"14","15131"
"14","15137"
"14","15139"
"14","15149"
"14","15161"
"14","15173"
"14","15187"
"14","15193"
"14","15199"
"14","15217"
"14","15227"
"14","15233"
"14","15241"
"14","15259"
"14","15263"
"14","15269"
"14","15271"
"14","15277"
"14","15287"
"14","15289"
"14","15299"
"14","15307"
"14","15313"
"14","15319"
"14","15329"
"14","15331"
"14","15349"
"14","15359"
"14","15361"
"14","15373"
"14","15377"
"14","15383"
"14","15391"
"14","15401"
"14","15413"
"14","15427"
"14","15439"
"14","15443"
"14","15451"
"14","15461"
"14","15467"
"14","15473"
"14","15493"
"14","15497"
"14","15511"
"14","15527"
"14","15541"
"14","15551"
"14","15559"
"14","15569"
"14","15581"
"14","15583"
"14","15601"
"14","15607"
"14","15619"
"14","15629"
"14","15641"
"14","15643"
"14","15647"
"14","15649"
"14","15661"
"14","15667"
"14","15671"
"14","15679"
"14","15683"
"14","15727"
"14","15731"
"14","15733"
"14","15737"
"14","15739"
"14","15749"
"14","15761"
"14","15767"
"14","15773"
"14","15787"
"14","15791"
"14","15797"
"14","15803"
"14","15809"
"14","15817"
"14","15823"
"14","15859"
"14","15877"
"14","15881"
"14","15887"
"14","15889"
"14","15901"
"14","15907"
"14","15913"
"14","15919"
"14","15923"
"14","15937"
"14","15959"
"14","15971"
"14","15973"
"14","15991"
"14","16001"
"14","16007"
"14","16033"
"14","16057"
"14","16061"
"14","16063"
"14","16067"
"14","16069"
"14","16073"
"14","16087"
"14","16091"
"14","16097"
"14","16103"
"14","16111"
"14","16127"
"14","16139"
"14","16141"
"14","16183"
"14","16187"
"14","16189"
"14","16193"
"14","16217"
"14","16223"
"14","16229"
"14","16231"
"14","16249"
"14","16253"
"14","16267"
"14","16273"
"14","16301"
"14","16319"
"14","16333"
"14","16339"
"14","16349"
"14","16361"
"14","16363"
"14","16369"
"14","16381"
"15","16411"
"15","16417"
"15","16421"
"15","16427"
"15","16433"
"15","16447"
"15","16451"
"15","16453"
"15","16477"
"15","16481"
"15","16487"
"15","16493"
"15","16519"
"15","16529"
"15","16547"
"15","16553"
"15","16561"
"15","16567"
"15","16573"
"15","16603"
"15","16607"
"15","16619"
"15","16631"
"15","16633"
"15","16649"
"15","16651"
"15","16657"
"15","16661"
"15","16673"
"15","16691"
"15","16693"
"15","16699"
"15","16703"
"15","16729"
"15","16741"
"15","16747"
"15","16759"
"15","16763"
"15","16787"
"15","16811"
"15","16823"
"15","16829"
"15","16831"
"15","16843"
"15","16871"
"15","16879"
"15","16883"
"15","16889"
"15","16901"
"15","16903"
"15","16921"
"15","16927"
"15","16931"
"15","16937"
"15","16943"
"15","16963"
"15","16979"
"15","16981"
"15","16987"
"15","16993"
"15","17011"
"15","17021"
"15","17027"
"15","17029"
"15","17033"
"15","17041"
"15","17047"
"15","17053"
"15","17077"
"15","17093"
"15","17099"
"15","17107"
"15","17117"
"15","17123"
"15","17137"
"15","17159"
"15","17167"
"15","17183"
"15","17189"
"15","17191"
"15","17203"
"15","17207"
"15","17209"
"15","17231"
"15","17239"
"15","17257"
"15","17291"
"15","17293"
"15","17299"
"15","17317"
"15","17321"
"15","17327"
"15","17333"
"15","17341"
"15","17351"
"15","17359"
"15","17377"
"15","17383"
"15","17387"
"15","17389"
"15","17393"
"15","17401"
"15","17417"
"15","17419"
"15","17431"
"15","17443"
"15","17449"
"15","17467"
"15","17471"
"15","17477"
"15","17483"
"15","17489"
"15","17491"
"15","17497"
"15","17509"
"15","17519"
"15","17539"
"15","17551"
"15","17569"
"15","17573"
"15","17579"
"15","17581"
"15","17597"
